trade_date,gross_ret,net_ret,turnover,rebalanced,holdings,weights
2021-05-26,0.021569176286770724,0.021569176286770724,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-27,0.006522802027870082,0.006522802027870082,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-28,0.01373281565644242,0.01373281565644242,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-31,0.005456397687014631,0.005456397687014631,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-06-01,-0.013857509326711526,-0.015857509326711525,2.0,1,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-02,-0.008438562785975993,-0.008438562785975993,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-03,0.011491080846513783,0.011491080846513783,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-04,-0.0052247235813792075,-0.0052247235813792075,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-07,-0.006132911069627871,-0.006132911069627871,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-08,0.0027287538063899405,0.0027287538063899405,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-09,0.02519866995392396,0.02519866995392396,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-10,0.0046686875535114055,0.0046686875535114055,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-11,-0.012493621344530883,-0.012493621344530883,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-15,-0.030184841218631353,-0.030184841218631353,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-16,0.016590931531641324,0.016590931531641324,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-17,0.018169035555944762,0.018169035555944762,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-18,0.013128253148265493,0.013128253148265493,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-21,0.01393301800014203,0.01393301800014203,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-22,0.008131171765238867,0.008131171765238867,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-23,-0.003247472868069881,-0.003247472868069881,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-24,0.01307491912725391,0.01307491912725391,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-25,0.016862405574664792,0.016862405574664792,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-28,-0.0042351009298379995,-0.0042351009298379995,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-29,0.01325761184349036,0.01325761184349036,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-06-30,-0.008885363079581985,-0.008885363079581985,0.0,0,"515700.SH,516950.SH,510660.SH,512580.SH,159836.SZ","0.1508,0.2057,0.2320,0.2057,0.2057"
2021-07-01,-0.005941697970933681,-0.0071416979709336805,1.2,1,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-02,0.027935418983622815,0.027935418983622815,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-05,-0.0272416212151421,-0.0272416212151421,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-06,0.055229905614734814,0.055229905614734814,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-07,0.009125139580573437,0.009125139580573437,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-08,0.01658952612167413,0.01658952612167413,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-09,0.011401254496241617,0.011401254496241617,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-12,-0.009415911199807269,-0.009415911199807269,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-13,-0.028194000812986342,-0.028194000812986342,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-14,0.028970754893582036,0.028970754893582036,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-15,-0.03356471377986175,-0.03356471377986175,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-16,-0.009993435222744615,-0.009993435222744615,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-19,0.02750793958819675,0.02750793958819675,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-20,0.039810026264956125,0.039810026264956125,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-21,0.011321499282118196,0.011321499282118196,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-22,-0.007106663053616746,-0.007106663053616746,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-23,-0.0041865587139171614,-0.0041865587139171614,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-26,-0.04975902363736962,-0.04975902363736962,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-27,0.03693094689196722,0.03693094689196722,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-28,0.037732875718205834,0.037732875718205834,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-29,0.015696784795088674,0.015696784795088674,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-07-30,-0.0068701631680383665,-0.0068701631680383665,0.0,0,"512480.SH,515700.SH,515790.SH,512580.SH,588000.SH","0.1558,0.1664,0.1944,0.2328,0.2505"
2021-08-02,-0.02921417203361628,-0.03081417203361628,1.6,1,"159886.SZ,512400.SH,515220.SH,159944.SZ,515790.SH","0.1962,0.1726,0.2400,0.2483,0.1429"
2021-08-03,0.042994538408198085,0.042994538408198085,0.0,0,"159886.SZ,512400.SH,515220.SH,159944.SZ,515790.SH","0.1962,0.1726,0.2400,0.2483,0.1429"
2021-08-04,0.003971559797106535,0.003971559797106535,0.0,0,"159886.SZ,512400.SH,515220.SH,159944.SZ,515790.SH","0.1962,0.1726,0.2400,0.2483,0.1429"
2021-08-05,0.01556118452215524,0.01556118452215524,0.0,0,"159886.SZ,512400.SH,515220.SH,159944.SZ,515790.SH","0.1962,0.1726,0.2400,0.2483,0.1429"
